category,id,variant,file,width,height,description,source_visible,alpha
00_masters,full_overlay,blank,00_masters/full_overlay_blank.png,2048,1152,Full-canvas 2048×1152 HUD overlay.,True,True
00_masters,full_overlay,labeled,00_masters/full_overlay_labeled.png,2048,1152,Full-canvas 2048×1152 HUD overlay.,True,True
08_overlays,red_signal_layer,blank,08_overlays/red_signal_layer_blank.png,2048,1152,Red active-state elements only.,True,True
08_overlays,red_signal_layer,labeled,08_overlays/red_signal_layer_labeled.png,2048,1152,Red active-state elements only.,True,True
08_overlays,ivory_line_layer,blank,08_overlays/ivory_line_layer_blank.png,2048,1152,Warm-ivory HUD elements only.,True,True
08_overlays,ivory_line_layer,labeled,08_overlays/ivory_line_layer_labeled.png,2048,1152,Warm-ivory HUD elements only.,True,True
10_source_extracts,title_header,labeled,10_source_extracts/title_header_labeled.png,552,123,Exact alpha-separated crop from the supplied reference.,True,True
10_source_extracts,system_status,labeled,10_source_extracts/system_status_labeled.png,229,131,Exact alpha-separated crop from the supplied reference.,True,True
10_source_extracts,countdown,labeled,10_source_extracts/countdown_labeled.png,464,109,Exact alpha-separated crop from the supplied reference.,True,True
10_source_extracts,coordinates,labeled,10_source_extracts/coordinates_labeled.png,137,178,Exact alpha-separated crop from the supplied reference.,True,True
10_source_extracts,checksum_barcode,labeled,10_source_extracts/checksum_barcode_labeled.png,210,121,Exact alpha-separated crop from the supplied reference.,True,True
10_source_extracts,selector_list,labeled,10_source_extracts/selector_list_labeled.png,356,288,Exact alpha-separated crop from the supplied reference.,True,True
10_source_extracts,part_mark,labeled,10_source_extracts/part_mark_labeled.png,111,172,Exact alpha-separated crop from the supplied reference.,True,True
10_source_extracts,diagnostic_panel,labeled,10_source_extracts/diagnostic_panel_labeled.png,211,201,Exact alpha-separated crop from the supplied reference.,True,True
10_source_extracts,command_bar,labeled,10_source_extracts/command_bar_labeled.png,1746,74,Exact alpha-separated crop from the supplied reference.,True,True
10_source_extracts,network_map,labeled,10_source_extracts/network_map_labeled.png,1919,863,Exact alpha-separated crop from the supplied reference.,True,True
01_selectors,selector_list,blank,01_selectors/selector_list_blank.png,500,300,Four-row selector with active second row.,True,True
01_selectors,selector_list,labeled,01_selectors/selector_list_labeled.png,500,300,Four-row selector with active second row.,True,True
01_selectors,selector_row_01,blank,01_selectors/selector_row_01_blank.png,430,66,Selector row 01: SIDONIA SYSTEM.,True,True
01_selectors,selector_row_01,labeled,01_selectors/selector_row_01_labeled.png,430,66,Selector row 01: SIDONIA SYSTEM.,True,True
01_selectors,selector_row_02,blank,01_selectors/selector_row_02_blank.png,430,66,Selector row 02: ADVANCED OPTIONS.,True,True
01_selectors,selector_row_02,labeled,01_selectors/selector_row_02_labeled.png,430,66,Selector row 02: ADVANCED OPTIONS.,True,True
01_selectors,selector_row_03,blank,01_selectors/selector_row_03_blank.png,430,66,Selector row 03: RECOVERY VECTOR.,True,True
01_selectors,selector_row_03,labeled,01_selectors/selector_row_03_labeled.png,430,66,Selector row 03: RECOVERY VECTOR.,True,True
01_selectors,selector_row_04,blank,01_selectors/selector_row_04_blank.png,430,66,Selector row 04: UEFI FIRMWARE.,True,True
01_selectors,selector_row_04,labeled,01_selectors/selector_row_04_labeled.png,430,66,Selector row 04: UEFI FIRMWARE.,True,True
02_frames,title_header,blank,02_frames/title_header_blank.png,720,150,STARFIX title and formation-link header.,True,True
02_frames,title_header,labeled,02_frames/title_header_labeled.png,720,150,STARFIX title and formation-link header.,True,True
02_frames,system_status,blank,02_frames/system_status_blank.png,300,150,System status data block.,True,True
02_frames,system_status,labeled,02_frames/system_status_labeled.png,300,150,System status data block.,True,True
02_frames,coordinates_panel,blank,02_frames/coordinates_panel_blank.png,290,230,Coordinate and grid data panel.,True,True
02_frames,coordinates_panel,labeled,02_frames/coordinates_panel_labeled.png,290,230,Coordinate and grid data panel.,True,True
02_frames,checksum_panel,blank,02_frames/checksum_panel_blank.png,340,130,Checksum and wide barcode panel.,True,True
02_frames,checksum_panel,labeled,02_frames/checksum_panel_labeled.png,340,130,Checksum and wide barcode panel.,True,True
02_frames,diagnostic_panel,blank,02_frames/diagnostic_panel_blank.png,330,150,Diagnostic mount and serial panel.,True,True
02_frames,diagnostic_panel,labeled,02_frames/diagnostic_panel_labeled.png,330,150,Diagnostic mount and serial panel.,True,True
02_frames,command_bar,blank,02_frames/command_bar_blank.png,1780,110,Full bottom command/navigation strip.,True,True
02_frames,command_bar,labeled,02_frames/command_bar_labeled.png,1780,110,Full bottom command/navigation strip.,True,True
03_nodes,node_01,blank,03_nodes/node_01_blank.png,250,152,Node 01 cluster.,True,True
03_nodes,node_01,labeled,03_nodes/node_01_labeled.png,250,152,Node 01 cluster.,True,True
03_nodes,node_02,blank,03_nodes/node_02_blank.png,250,152,Node 02 cluster.,True,True
03_nodes,node_02,labeled,03_nodes/node_02_labeled.png,250,152,Node 02 cluster.,True,True
03_nodes,node_03,blank,03_nodes/node_03_blank.png,250,152,Node 03 cluster.,True,True
03_nodes,node_03,labeled,03_nodes/node_03_labeled.png,250,152,Node 03 cluster.,True,True
03_nodes,node_04,blank,03_nodes/node_04_blank.png,250,152,Node 04 cluster.,True,True
03_nodes,node_04,labeled,03_nodes/node_04_labeled.png,250,152,Node 04 cluster.,True,True
03_nodes,node_05,blank,03_nodes/node_05_blank.png,250,152,Node 05 cluster.,True,True
03_nodes,node_05,labeled,03_nodes/node_05_labeled.png,250,152,Node 05 cluster.,True,True
03_nodes,node_06,blank,03_nodes/node_06_blank.png,250,152,Node 06 cluster.,True,True
03_nodes,node_06,labeled,03_nodes/node_06_labeled.png,250,152,Node 06 cluster.,True,True
03_nodes,node_07,blank,03_nodes/node_07_blank.png,250,152,Node 07 cluster.,True,True
03_nodes,node_07,labeled,03_nodes/node_07_labeled.png,250,152,Node 07 cluster.,True,True
03_nodes,node_08,blank,03_nodes/node_08_blank.png,250,152,Node 08 cluster.,True,True
03_nodes,node_08,labeled,03_nodes/node_08_labeled.png,250,152,Node 08 cluster.,True,True
03_nodes,node_09,blank,03_nodes/node_09_blank.png,250,152,Node 09 cluster.,True,True
03_nodes,node_09,labeled,03_nodes/node_09_labeled.png,250,152,Node 09 cluster.,True,True
03_nodes,node_10,blank,03_nodes/node_10_blank.png,250,152,Node 10 cluster.,True,True
03_nodes,node_10,labeled,03_nodes/node_10_labeled.png,250,152,Node 10 cluster.,True,True
03_nodes,node_11,blank,03_nodes/node_11_blank.png,250,152,Node 11 cluster.,True,True
03_nodes,node_11,labeled,03_nodes/node_11_labeled.png,250,152,Node 11 cluster.,True,True
03_nodes,node_12,blank,03_nodes/node_12_blank.png,250,152,Node 12 cluster.,True,True
03_nodes,node_12,labeled,03_nodes/node_12_labeled.png,250,152,Node 12 cluster.,True,True
03_nodes,node_13,blank,03_nodes/node_13_blank.png,250,152,Node 13 cluster.,True,True
03_nodes,node_13,labeled,03_nodes/node_13_labeled.png,250,152,Node 13 cluster.,True,True
