id,category,variant,description,width,height,svg,png_1x,png_2x
selector_idle_blank,selectors,blank,Inactive wide selector with structural nodes.,1024,256,assets/svg/selectors/selector_idle_blank.svg,assets/png/1x/selectors/selector_idle_blank.png,assets/png/2x/selectors/selector_idle_blank.png
selector_idle_01_primary_system,selectors,labeled,Inactive selector labeled 01 PRIMARY SYSTEM.,1024,256,assets/svg/selectors/selector_idle_01_primary_system.svg,assets/png/1x/selectors/selector_idle_01_primary_system.png,assets/png/2x/selectors/selector_idle_01_primary_system.png
selector_idle_02_advanced_options,selectors,labeled,Inactive selector labeled 02 ADVANCED OPTIONS.,1024,256,assets/svg/selectors/selector_idle_02_advanced_options.svg,assets/png/1x/selectors/selector_idle_02_advanced_options.png,assets/png/2x/selectors/selector_idle_02_advanced_options.png
selector_idle_03_memory_test,selectors,labeled,Inactive selector labeled 03 MEMORY TEST.,1024,256,assets/svg/selectors/selector_idle_03_memory_test.svg,assets/png/1x/selectors/selector_idle_03_memory_test.png,assets/png/2x/selectors/selector_idle_03_memory_test.png
selector_selected_blank,selectors,blank,Selected red selector without text.,1024,256,assets/svg/selectors/selector_selected_blank.svg,assets/png/1x/selectors/selector_selected_blank.png,assets/png/2x/selectors/selector_selected_blank.png
selector_selected_04_uefi_firmware,selectors,labeled,Selected selector labeled 04 UEFI FIRMWARE.,1024,256,assets/svg/selectors/selector_selected_04_uefi_firmware.svg,assets/png/1x/selectors/selector_selected_04_uefi_firmware.png,assets/png/2x/selectors/selector_selected_04_uefi_firmware.png
badge_selected_blank,selectors,blank,Empty outlined selected-status badge.,320,96,assets/svg/selectors/badge_selected_blank.svg,assets/png/1x/selectors/badge_selected_blank.png,assets/png/2x/selectors/badge_selected_blank.png
badge_selected_labeled,selectors,labeled,Outlined SELECTED badge.,320,96,assets/svg/selectors/badge_selected_labeled.svg,assets/png/1x/selectors/badge_selected_labeled.png,assets/png/2x/selectors/badge_selected_labeled.png
selector_focus_outline_blank,selectors,blank,Reusable angular focus outline.,1024,216,assets/svg/selectors/selector_focus_outline_blank.svg,assets/png/1x/selectors/selector_focus_outline_blank.png,assets/png/2x/selectors/selector_focus_outline_blank.png
selector_compact_blank,selectors,blank,Compact selector frame.,640,160,assets/svg/selectors/selector_compact_blank.svg,assets/png/1x/selectors/selector_compact_blank.png,assets/png/2x/selectors/selector_compact_blank.png
frame_screen_blank,frames,blank,Full-screen border frame.,1600,900,assets/svg/frames/frame_screen_blank.svg,assets/png/1x/frames/frame_screen_blank.png,assets/png/2x/frames/frame_screen_blank.png
frame_screen_footer_labeled,frames,labeled,Full-screen border with footer labels.,1600,900,assets/svg/frames/frame_screen_footer_labeled.svg,assets/png/1x/frames/frame_screen_footer_labeled.png,assets/png/2x/frames/frame_screen_footer_labeled.png
frame_panel_blank,frames,blank,Dark translucent general-purpose panel frame.,960,640,assets/svg/frames/frame_panel_blank.svg,assets/png/1x/frames/frame_panel_blank.png,assets/png/2x/frames/frame_panel_blank.png
frame_panel_outline_blank,frames,blank,Transparent general-purpose panel outline.,960,640,assets/svg/frames/frame_panel_outline_blank.svg,assets/png/1x/frames/frame_panel_outline_blank.png,assets/png/2x/frames/frame_panel_outline_blank.png
frame_boot_controls_blank,frames,blank,Boot-controls panel without labels.,720,520,assets/svg/frames/frame_boot_controls_blank.svg,assets/png/1x/frames/frame_boot_controls_blank.png,assets/png/2x/frames/frame_boot_controls_blank.png
frame_boot_controls_labeled,frames,labeled,Boot-controls panel with key labels.,720,520,assets/svg/frames/frame_boot_controls_labeled.svg,assets/png/1x/frames/frame_boot_controls_labeled.png,assets/png/2x/frames/frame_boot_controls_labeled.png
frame_metadata_blank,frames,blank,Compact metadata panel.,620,250,assets/svg/frames/frame_metadata_blank.svg,assets/png/1x/frames/frame_metadata_blank.png,assets/png/2x/frames/frame_metadata_blank.png
frame_metadata_labeled,frames,labeled,Compact serial metadata panel.,620,250,assets/svg/frames/frame_metadata_labeled.svg,assets/png/1x/frames/frame_metadata_labeled.png,assets/png/2x/frames/frame_metadata_labeled.png
frame_callout_line_blank,frames,blank,Angled technical callout line.,720,140,assets/svg/frames/frame_callout_line_blank.svg,assets/png/1x/frames/frame_callout_line_blank.png,assets/png/2x/frames/frame_callout_line_blank.png
frame_callout_line_labeled,frames,labeled,Technical callout line with panel label.,720,140,assets/svg/frames/frame_callout_line_labeled.svg,assets/png/1x/frames/frame_callout_line_labeled.png,assets/png/2x/frames/frame_callout_line_labeled.png
frame_corner_top_left,frames,blank,Reusable top left frame corner.,256,256,assets/svg/frames/frame_corner_top_left.svg,assets/png/1x/frames/frame_corner_top_left.png,assets/png/2x/frames/frame_corner_top_left.png
frame_corner_top_right,frames,blank,Reusable top right frame corner.,256,256,assets/svg/frames/frame_corner_top_right.svg,assets/png/1x/frames/frame_corner_top_right.png,assets/png/2x/frames/frame_corner_top_right.png
frame_corner_bottom_left,frames,blank,Reusable bottom left frame corner.,256,256,assets/svg/frames/frame_corner_bottom_left.svg,assets/png/1x/frames/frame_corner_bottom_left.png,assets/png/2x/frames/frame_corner_bottom_left.png
frame_corner_bottom_right,frames,blank,Reusable bottom right frame corner.,256,256,assets/svg/frames/frame_corner_bottom_right.svg,assets/png/1x/frames/frame_corner_bottom_right.png,assets/png/2x/frames/frame_corner_bottom_right.png
icon_plus_circle,icons,base,Circular plus node.,256,256,assets/svg/icons/icon_plus_circle.svg,assets/png/1x/icons/icon_plus_circle.png,assets/png/2x/icons/icon_plus_circle.png
